+,25/11/2016,00:01:52,dazzler,172.30.148.213,,,ApexDC++ 1.6.2,81.46 GiBs,A,0.1
+,25/11/2016,00:06:09,RAKESHK,172.30.100.155,,,DC++ 0.851,97.37 GiBs,P,0.005
+,25/11/2016,00:07:06,Husband,172.30.107.72,,,DC++ 0.831,57.97 GiBs,P,0.005
+,25/11/2016,00:07:20,Broo,172.30.100.89,,,DC++ 0.851,28.64 GiBs,A,0.005
-,25/11/2016,00:11:48,Broo,172.30.100.89,,,DC++ 0.851,28.64 GiBs,A,0.005
+,25/11/2016,00:12:55,asdf;lkj,172.30.101.239,,,DC++ 0.862,37.59 GiBs,A,0.005
+,25/11/2016,00:14:19,uchiha,172.30.120.242,nopes,,DC++ 0.831,44.52 GiBs,P,0.005
-,25/11/2016,00:15:38,uchiha,172.30.120.242,nopes,,DC++ 0.831,44.52 GiBs,P,0.005
+,25/11/2016,00:16:32,uchiha,172.30.120.242,nopes,,DC++ 0.831,44.52 GiBs,P,0.005
+,25/11/2016,00:22:01,youtube,172.30.100.61,,,DC++ 0.830,66.05 GiBs,P,0.005
+,25/11/2016,00:22:37,Stud,172.30.121.239,,,DC++ 0.862,21.87 GiBs,A,0.005
-,25/11/2016,00:23:50,Stud,172.30.121.239,,,DC++ 0.862,21.87 GiBs,A,0.005
-,25/11/2016,00:27:35,TheGreenArrow,172.30.106.52,,,DC++ 0.843,64.99 GiBs,A,0.005
-,25/11/2016,00:31:53,SHUB,172.30.107.175,,,DC++ 0.851,93.63 GiBs,P,0.005
-,25/11/2016,00:32:27,youtube,172.30.100.61,,,DC++ 0.830,66.05 GiBs,P,0.005
-,25/11/2016,00:33:22,VK,172.30.100.236,,,DC++ 0.831,29.40 GiBs,P,0.005
-,25/11/2016,00:39:38,RAKESHK,172.30.100.155,,,DC++ 0.851,97.37 GiBs,P,0.005
+,25/11/2016,00:39:40,RAKESHK,172.30.100.155,,,DC++ 0.851,97.37 GiBs,P,0.005
+,25/11/2016,00:39:59,youtube,172.30.100.61,,,DC++ 0.830,66.05 GiBs,A,0.005
-,25/11/2016,00:40:23,youtube,172.30.100.61,,,DC++ 0.830,66.05 GiBs,A,0.005
