-,26/06/2015,17:19:50,Alligator,172.30.137.59,,,DC++ 0.843,198.96 GiBs,P,0.005
-,26/06/2015,17:19:50,kkk,172.30.136.188,,,DC++ 0.843,163.24 GiBs,P,1
-,26/06/2015,17:19:50,lovejoy,172.30.145.42,,,DC++ 0.843,36.28 GiBs,P,0.005
-,26/06/2015,17:19:50,sun,172.30.123.98,,,DC++ 0.843,43.59 GiBs,P,0.005
-,26/06/2015,17:19:50,Hitman,172.30.148.42,,,DC++ 0.843,87.07 GiBs,P,1000
+,26/06/2015,17:20:15,sret,172.20.44.50,,,DC++ 0.850,63.07 GiBs,P,0.005
+,26/06/2015,17:20:37,chaitkrrish,172.30.122.2,,,StrgDC++ 2.41,24.76 GiBs,P,0.01
+,26/06/2015,17:21:21,lavanya,172.30.142.103,,,DC++ 0.843,39.52 GiBs,A,0.005
-,26/06/2015,17:23:22,chaitkrrish,172.30.122.2,,,StrgDC++ 2.41,24.76 GiBs,P,0.01
+,26/06/2015,17:28:25,Doremon,172.30.140.140,,,DC++ 0.828,89.91 GiBs,P,0.005
